app_id,app_name,category,rating,one_liner,in_top_10,matched_keywords,relevance_score,match_reason,description_preview
3756,Houzz - Home Design & Remodel,lifestyle,4.84,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Houzz is the No. 1 app for improving and designing your home. Whether you’re building, remodeling or decorating, Houzz has you covered.

Get the Best Home Design Ideas 
- Browse more than 25 million h..."
6791,craigslist,lifestyle,4.83,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","All the basics are on craigslist: jobs, housing, furnishings, cars/trucks, goods and services. Save your favorites for later, filter results, set search alerts to get the latest matches sent to you. V..."
5336,Garden Joy: Design Game,design,4.77,🌻 Transform your space - AI-powered garden design and landscape planning,YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Design gardens and style patios of beautiful homes. Choose from decor to exotic flowers and plants in the #1 Outdoor Design Game.

In this cozy landscaping and gardening simulation, you will:

- Desig..."
5601,Planta: Plant & Garden Care,reference,4.76,"🌱 Complete plant care companion - watering schedules, care tips, and plant health tracking",YES,plant identification,2,"matches in app name/description, keywords: plant identification, highly rated","*EDITORS' CHOICE & APP OF THE DAY*

Join 10 million plant lovers and 40 million thriving plants! Transform your space into a lush green oasis—Plantas' team of real plant experts will help you!

WHY PL..."
6079,WindAlert: Wind & Weather Map,weather,4.74,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","WindAlert gives you the weather in your neighborhood, from observations onsite or right next door, get the most accurate wind speed and wind direction. With over 65,000 proprietary Tempest Weather Sys..."
6913,Odnoklassniki: Social network,networking,4.72,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Odnoklassniki is a social network with millions of users around the world. In OK you can call friends, livestream, send stickers and gifts, find new friends in groups and share moments. Have fun liste..."
6625,Cafeyn - News & magazines,news,4.68,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","The world’s newspapers and magazines at your fingertips 

Cafeyn gives you unlimited access to all of your favourite newspapers and magazines.  You can read as digital page turners or by article with ..."
3029,Wish: Shop and Save,Shopping,4.66,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Wish is home to deals on millions of items from around the world. The destination for home and life - discover everything from everyday basics, hobbies & DIY, fashion for all, the latest in tech, to t..."
7200,Wish: Shop and Save,,4.66,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Wish is home to deals on millions of items from around the world. The destination for home and life - discover everything from everyday basics, hobbies & DIY, fashion for all, the latest in tech, to t..."
5685,DesignVille: Merge & Design,design,4.59,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",YES,gardening,2,"matches in app name/description, keywords: gardening, highly rated","Dive into a story full of fun characters, complete renovation orders from different clients, create a unique design for each room, decorate how you want and let your creativity run wild! Make your dre..."
2912,Bringg Driver App,delivery,5,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Bringg is the leading customer-centric logistics solution for enterprises, with customers from more than 
50 countries including some of the world's best-known brands. Using our powerful SaaS platform..."
8000,Garden - Creative Community,creativity,5,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",NO,,,,"Garden is an intentional space to share ideas, find inspiration, and connect with a creative community. Creative Prompts: Share your take, see new perspectives, and grow your creativity through simple..."
3930,Upful Blends,wellness,4.95,🌱 Plant enthusiast tool - everything you need for successful plant care and growth,NO,,,,"Feeling disconnected, drained, or out of sync with your body?

You deserve more than symptom relief, you deserve a full-body reawakening.

The Upful Blends app is your direct line to herbal tea blends..."
2725,Avibra: Well-Being & Benefits,Health & Fitness,4.94,🧘 Nature-connected wellness - bring the calming power of plants into your daily routine,NO,,,,"Avibra is the #1-rated insurance, finance, and well-being app that turns good habits and positive steps into insurance coverage. Each time you open our free app to read wellness tips, take a quiz, wat..."
3537,Goldbelly: Ship Food & Gifts,food,4.94,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,Goldbelly is America’s #1 food marketplace. We make it possible to experience America’s most loved foods shipped right to your door. From curated meal kits from legendary chefs and signature dishes fr...
6905,Dodo Pizza Delivery,delivery,4.93,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Dodo Pizza is perfect for a quick bite, a cozy family dinner, or a fun get-together with friends. It’s more than just fast food — we create our own recipes, work with trusted suppliers, and maintain q..."
5481,InFrame - Photo editor collage,photo,4.9,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"InFrame is an extremely easy-to-use photo editor.  Turn your photo to awesome artworks with our redesigned frames. Tons of features to help you level up your Instagram game. Check it out for free!

Fe..."
4876,Wordscapes Search,games,4.89,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,"Introducing the NEWEST free game in the Wordscapes family! Search your way through thousands of new word puzzles while traveling to beautiful, relaxing destinations.

Wordscapes Search is a modern twi..."
5367,Sephora US: Makeup & Skincare,shopping,4.89,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Discover brand new beauty and skincare routines with Sephora. Explore the best beauty products from top brands like FENTY BEAUTY by Rihanna, The Ordinary, and Sephora Collection. 

Try the latest prod..."
6452,Borzo: Courier Delivery App,delivery,4.89,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,"Borzo (ex WeFast; https://borzodelivery.com/in) is the business delivery you can trust — fast intracity courier delivery service. 
Delivering 4 million packages a month in 10 countries.

Place an orde..."
6829,PBS: Watch TV & Documentaries,streaming,4.89,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Get the PBS app and stream heartwarming shows like All Creatures Great & Small and Call the Midwife, plus new documentary series like Ken Burns’ American Buffalo. The PBS app features the latest news,..."
7198,Sephora US: Makeup & Skincare,,4.89,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Discover brand new beauty and skincare routines with Sephora. Explore the best beauty products from top brands like FENTY BEAUTY by Rihanna, The Ordinary, and Sephora Collection. Try the latest produc..."
7367,PBS: Watch TV & Documentaries,,4.89,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Get the PBS app and stream heartwarming shows like All Creatures Great & Small and Call the Midwife, plus new documentary series like Ken Burns’ American Buffalo. The PBS app features the latest news,..."
8183,Borzo: Courier Delivery App,delivery,4.89,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,Borzo (ex WeFast; https://borzodelivery.com/in) is the business delivery you can trust — fast intracity courier delivery service. Delivering 4 million packages a month in 10 countries. Place an order ...
4697,Red Bull TV: Watch Live Events,streaming,4.88,🌱 Plant enthusiast tool - everything you need for successful plant care and growth,NO,,,,"Go beyond the ordinary with the very best of Red Bull TV.

Get unrivaled access to your favorite sports, live events, music, and entertainment from around the globe for free – anywhere, anytime.

Foll..."
5086,Blinq: Digital Business Card,business,4.88,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Introducing Blinq: The Ultimate Digital Business Card Solution

Transform the way you network with Blinq, your go-to electronic business card maker. Effortlessly craft a sleek virtual business card in..."
6289,Magic Diamond Painting－Gem Art,art,4.88,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,Magic Diamond Painting is a fresh take on classic coloring games. Explore the world of visually dazzling mosaic diamond art works. It’s a new creative form of pixel art that has taken the world by sto...
6635,HiHello: Digital Business Card,business,4.88,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"HiHello: The Best Digital Business Card App

Join the future of networking with HiHello, the leading digital business card app trusted by professionals worldwide. With over a million biz cards shared ..."
7411,Red Bull TV: Watch Live Events,,4.88,🌱 Plant enthusiast tool - everything you need for successful plant care and growth,NO,,,,"Go beyond the ordinary with the very best of Red Bull TV. Get unrivaled access to your favorite sports, live events, music, and entertainment from around the globe for free – anywhere, anytime. Follow..."
7672,HiHello: Digital Business Card,business,4.88,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"HiHello: The Best Digital Business Card App Join the future of networking with HiHello, the leading digital business card app trusted by professionals worldwide. With over a million biz cards shared m..."
7864,Blinq: Digital Business Card,business,4.88,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Introducing Blinq: The Ultimate Digital Business Card Solution Transform the way you network with Blinq, your go-to electronic business card maker. Effortlessly craft a sleek virtual business card in ..."
9046,discovery+ | Stream TV Shows,Entertainment,4.87,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"discovery+ is the streaming home of Food, Home, Travel, True Crime, Paranormal and so much more. Watch exciting, can’t miss Original series plus all your favorite shows from the best TV brands. There'..."
2762,Bath & Body Works | B&BW,Shopping,4.87,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,"Shop. Earn. Redeem. Repeat! 
 
Download the top-rated app and discover the best way to shop Bath & Body Works (both online and in stores)! Stay up-to-date on today’s deals, and turn on push notificati..."
2153,Uplens: Photo & Video Editor,Photo & Video,4.87,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Uplens is the ultimate mobile photo and video editor, powered by AI and designed to help you take perfect selfies and create stunning visuals in just a few taps. With our advanced retouching tools and..."
2782,Nail Salon - Girl Art Game,Games,4.87,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,"Do you like to play games of nail design and nail polish? Come and experience the charm of beautiful nails at Nail Salon!
Nail Art is a handmade manicure bazaar simulation game where you are a profess..."
6380,Merlin Bird ID by Cornell Lab,reference,4.87,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"What's that bird? Ask Merlin—the world’s leading app for birds. Just like magic, Merlin Bird ID will help you solve the mystery.

Merlin Bird ID helps you identify birds you see and hear. Merlin is un..."
7114,Merlin Bird ID by Cornell Lab,,4.87,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"What's that bird? Ask Merlin—the world’s leading app for birds. Just like magic, Merlin Bird ID will help you solve the mystery. Merlin Bird ID helps you identify birds you see and hear. Merlin is unl..."
7347,discovery+ | Stream TV Shows,,4.87,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"discovery+ is the streaming home of Food, Home, Travel, True Crime, Paranormal and so much more. Watch exciting, can’t miss Original series plus all your favorite shows from the best TV brands. There'..."
2820,My Singing Monsters,Games,4.85,🌱 Plant enthusiast tool - everything you need for successful plant care and growth,NO,,,,"Dive into the Musical World of My Singing Monsters! Breed them, feed them, listen to them sing!

Breed and collect a musical menagerie of Monsters, each acting as a living, breathing instrument! Disco..."
2707,Audible: Audiobooks & Podcasts,Book,4.85,🌿 Connect with nature - explore and appreciate the natural world around you,NO,,,,"Discover storytelling that speaks to you with Audible. Audiobooks, podcasts and Audible Originals await in an all-in-one audio entertainment app.

Storytelling and entertainment for all genres awaits...."
3291,Tilt (formerly Empower),finance,4.85,"🌻 Gardening companion - design, plant, and maintain beautiful garden spaces",NO,,,,"Tilt is a better way to access money — helping more people get cash and credit by looking at real-time income and spending, not just credit scores, to see their potential. 


Find your match: Tilt Cas..."
6174,Wolt Delivery: Food and more,food,4.85,"🌸 Flower lover's delight - discover, identify, and care for beautiful blooms",NO,,,,"Enjoy your favorite restaurants and stores, all in one place.
The Wolt app makes it easy to discover and order (almost) anything from your city. From delicious food and fresh groceries to pharmacy and..."
